Среднее арифметическое;4.56
Стандартное отклонение;0.08
Нижняя граница доверительного интервала;4.50277
Верхняя граница доверительного интервала;4.61723
Начальное значение (b) - метод парных точек;4.6
Наклон (k) - метод парных точек;-0.02222
